filename,area,perimeter,ratio,solidity,extent,finger_count,label
348.png,28991.0,770.2152900695801,1.2268041237113403,0.8868325660360044,0.6278913627306593,1,OpenHand
412.png,33484.5,827.5706299543381,1.0933333333333333,0.8817975930266242,0.604959349593496,1,OpenHand
374.png,33608.5,844.0559113025665,1.1524663677130045,0.8623866158603082,0.5864231997347804,1,OpenHand
360.png,30091.5,775.3696185350418,1.183168316831683,0.8703631393986724,0.6232963254484444,1,OpenHand
406.png,30145.0,745.6711347103119,0.967741935483871,0.9240979736979247,0.6615097651964011,1,OpenHand
638.png,31744.5,850.5411919355392,0.9561752988047809,0.8428787637406404,0.5269671314741036,1,OpenHand
176.png,31147.0,766.1564153432846,1.207070707070707,0.9348400264121496,0.6581928067283715,1,OpenHand
88.png,29884.0,771.0437175035477,1.1472081218274113,0.9069086384534847,0.671218723327793,1,OpenHand
610.png,32302.5,825.3696196079254,1.056768558951965,0.8937909853075454,0.5828882312606013,1,OpenHand
604.png,29651.5,749.9137763977051,0.9675925925925926,0.9253947943324387,0.6568203969519759,1,OpenHand
162.png,30759.5,796.7422027587891,1.4833333333333334,0.9060369077600554,0.6400228880565959,1,OpenHand
189.png,30891.0,766.8427073955536,1.218274111675127,0.9407805576281768,0.6533629441624366,1,OpenHand
837.png,30039.5,823.0853487253189,1.146788990825688,0.8549250078265077,0.5511834862385321,1,OpenHand
77.png,30731.0,763.8721458911896,1.3833333333333333,0.9232410022231569,0.6856537260151718,1,OpenHand
823.png,27653.5,752.2569223642349,1.646341463414634,0.9021466088147979,0.6245144534778682,1,OpenHand
63.png,31414.5,825.1442234516144,1.8987341772151898,0.9018991430170966,0.662753164556962,1,OpenHand
980.png,57968.0,1606.7493423223495,1.1583011583011582,0.8577749169496667,0.7460489060489061,3,OpenHand
758.png,27540.5,762.6000664234161,1.004566210045662,0.8951893385340485,0.5716168534661685,1,OpenHand
994.png,25339.5,743.2274838685989,1.2460732984293195,0.8850526536386022,0.5574266355756963,1,OpenHand
764.png,28960.0,798.4995610713959,1.125,0.8740266795436712,0.5517451607986588,1,OpenHand
770.png,28450.5,792.6000673770905,1.2167487684729064,0.8646648532830854,0.5674099040705212,1,OpenHand
943.png,37644.5,874.8843364715576,1.080168776371308,0.8954128658587348,0.6204591904008439,1,OpenHand
957.png,38920.0,888.298551440239,0.8814814814814815,0.8979638922535618,0.6056644880174292,1,OpenHand
228.png,31091.0,775.8132704496384,1.1625615763546797,0.9178696897233785,0.6489730316439843,1,OpenHand
566.png,28975.5,716.600067615509,1.0876288659793814,0.9332635477896771,0.7078589925245518,1,OpenHand
200.png,31753.5,777.9137742519379,1.2139303482587065,0.9397585012874012,0.6474492292635184,1,OpenHand
214.png,29565.0,772.499561548233,1.4914285714285713,0.9221196431913168,0.6472906403940887,1,OpenHand
572.png,30823.0,757.3279892206192,0.9768518518518519,0.9234664070107108,0.6762989292610145,1,OpenHand
599.png,28960.5,732.6000663042068,0.9951456310679612,0.9314154311259769,0.6857802510063935,1,OpenHand
598.png,28956.5,736.2569215297699,1.0245098039215685,0.927825306802525,0.6791561122056478,1,OpenHand
215.png,29673.5,770.256921172142,1.463276836158192,0.9206223628691983,0.6472852998276727,1,OpenHand
573.png,31228.0,764.0142798423767,1.014018691588785,0.9206367924528301,0.6724665144924415,1,OpenHand
567.png,28958.0,720.0142802000046,1.0561224489795917,0.9370004853583562,0.7137434684018535,1,OpenHand
201.png,32157.5,784.884339094162,1.1902439024390243,0.9360082663872394,0.6428928428628549,1,OpenHand
229.png,31040.5,774.0559114217758,1.1519607843137254,0.9184123320906562,0.6474864413850646,1,OpenHand
956.png,39145.5,892.8843381404877,0.8851851851851852,0.8961163826158618,0.6066248256624825,1,OpenHand
942.png,37282.5,870.8843364715576,1.0851063829787233,0.8968930800967079,0.6221526908635795,1,OpenHand
771.png,28230.0,788.0142798423767,1.2189054726368158,0.8682814302191465,0.5732561681388973,1,OpenHand
765.png,28875.5,799.5706305503845,1.130232558139535,0.8721081244337058,0.5526940377069576,1,OpenHand
995.png,25287.0,741.8132702112198,1.2460732984293195,0.885771332492644,0.5562717233490255,1,OpenHand
